benchmark,size,selection_scheme,run,timestamp,ilp_time_assignment,status,error
db_variance,1024,smart_lp,7,2026-04-21T21:02:03Z,3.753451,ok,
db_variance,1024,smart_lp,8,2026-04-21T21:02:07Z,3.739774,ok,
db_variance,1024,smart_lp,9,2026-04-21T21:02:11Z,3.750080,ok,
db_variance,1024,smart_lp,10,2026-04-21T21:02:15Z,3.795749,ok,
db_variance,2048,smart_lp,1,2026-04-21T21:02:19Z,12.068116,ok,
db_variance,2048,smart_lp,2,2026-04-21T21:02:31Z,11.885328,ok,
db_variance,2048,smart_lp,3,2026-04-21T21:02:44Z,11.832345,ok,
db_variance,2048,smart_lp,4,2026-04-21T21:02:56Z,13.065305,ok,
db_variance,2048,smart_lp,5,2026-04-21T21:03:10Z,12.691312,ok,
db_variance,2048,smart_lp,6,2026-04-21T21:03:23Z,11.806589,ok,
db_variance,2048,smart_lp,7,2026-04-21T21:03:35Z,11.926461,ok,
db_variance,2048,smart_lp,8,2026-04-21T21:03:47Z,11.850989,ok,
db_variance,2048,smart_lp,9,2026-04-21T21:04:00Z,11.882109,ok,
db_variance,2048,smart_lp,10,2026-04-21T21:04:12Z,11.918717,ok,
db_variance,4096,smart_lp,1,2026-04-21T21:04:24Z,22.846726,ok,
db_variance,4096,smart_lp,2,2026-04-21T21:04:48Z,23.921767,ok,
db_variance,4096,smart_lp,3,2026-04-21T21:05:14Z,22.641660,ok,
db_variance,4096,smart_lp,4,2026-04-21T21:05:37Z,22.559473,ok,
db_variance,4096,smart_lp,5,2026-04-21T21:06:01Z,22.986332,ok,
db_variance,4096,smart_lp,6,2026-04-21T21:06:25Z,23.855035,ok,
db_variance,4096,smart_lp,7,2026-04-21T21:06:50Z,22.917138,ok,
db_variance,4096,smart_lp,8,2026-04-21T21:07:14Z,23.166308,ok,
db_variance,4096,smart_lp,9,2026-04-21T21:07:38Z,22.927394,ok,
db_variance,4096,smart_lp,10,2026-04-21T21:08:02Z,22.793420,ok,
db_variance,512,smart_lp,1,2026-04-21T21:08:26Z,0.741470,ok,
db_variance,512,smart_lp,2,2026-04-21T21:08:27Z,0.718647,ok,
db_variance,512,smart_lp,3,2026-04-21T21:08:28Z,0.967375,ok,
db_variance,512,smart_lp,4,2026-04-21T21:08:29Z,0.710002,ok,
db_variance,512,smart_lp,5,2026-04-21T21:08:30Z,0.736647,ok,
db_variance,512,smart_lp,6,2026-04-21T21:08:31Z,0.870242,ok,
db_variance,512,smart_lp,7,2026-04-21T21:08:32Z,0.786228,ok,
db_variance,512,smart_lp,8,2026-04-21T21:08:33Z,0.725519,ok,
db_variance,512,smart_lp,9,2026-04-21T21:08:34Z,0.718062,ok,
db_variance,512,smart_lp,10,2026-04-21T21:08:34Z,0.723144,ok,
inner_product,4096,smart_lp,1,2026-04-21T21:08:35Z,12.412778,ok,
inner_product,4096,smart_lp,2,2026-04-21T21:08:48Z,11.572848,ok,
inner_product,4096,smart_lp,3,2026-04-21T21:09:01Z,11.511457,ok,
inner_product,4096,smart_lp,4,2026-04-21T21:09:13Z,11.573325,ok,
inner_product,4096,smart_lp,5,2026-04-21T21:09:25Z,11.506698,ok,
inner_product,4096,smart_lp,6,2026-04-21T21:09:37Z,11.860897,ok,
inner_product,4096,smart_lp,7,2026-04-21T21:09:50Z,11.521696,ok,
inner_product,4096,smart_lp,8,2026-04-21T21:10:02Z,11.947895,ok,
inner_product,4096,smart_lp,9,2026-04-21T21:10:15Z,12.302042,ok,
inner_product,4096,smart_lp,10,2026-04-21T21:10:28Z,12.110959,ok,
inner_product,512,smart_lp,1,2026-04-21T21:10:41Z,0.427420,ok,
inner_product,512,smart_lp,2,2026-04-21T21:10:41Z,0.429179,ok,
inner_product,512,smart_lp,3,2026-04-21T21:10:42Z,0.420380,ok,
inner_product,512,smart_lp,4,2026-04-21T21:10:42Z,0.431993,ok,
inner_product,512,smart_lp,5,2026-04-21T21:10:43Z,0.427508,ok,
inner_product,512,smart_lp,6,2026-04-21T21:10:43Z,0.427060,ok,
inner_product,512,smart_lp,7,2026-04-21T21:10:44Z,0.442101,ok,
inner_product,512,smart_lp,8,2026-04-21T21:10:44Z,0.419668,ok,
inner_product,512,smart_lp,9,2026-04-21T21:10:45Z,0.427712,ok,
inner_product,512,smart_lp,10,2026-04-21T21:10:45Z,0.431714,ok,
longest_102,1024,smart_lp,1,2026-04-21T21:10:46Z,43.451960,ok,
longest_102,1024,smart_lp,2,2026-04-21T21:11:30Z,51.721751,ok,
